"Matchday";"Date";"Time";"Venue";"Ranking";"Opponent";"System_of_play";"Attendance";"Result";"game_name";"country"
"Semi-Finals";"Tue Jul 6, 2021";"1:00 AM";"H";"";"Peru";"4-2-3-1";"x";"1:0";"Copa América 2021";"Brazil"
"Final";"Sun Jul 11, 2021";"2:00 AM";"A";"";"Argentina";"4-3-3 Attacking";"5.000";"1:0";"Copa América 2021";"Brazil"
"Group A";"Sat Jul 2, 2011";"2:45 AM";"H";"";"Bolivia";"4-3-3 Attacking";"52.000";"1:1";"Copa América 2011";"Argentina"
"Group A";"Thu Jul 7, 2011";"2:45 AM";"H";"";"Colombia";"4-3-3 Attacking";"";"0:0";"Copa América 2011";"Argentina"
"Group A";"Tue Jul 12, 2011";"2:45 AM";"H";"";"Costa Rica";"4-4-2 double 6";"";"3:0";"Copa América 2011";"Argentina"
"Quarter-Finals";"Sun Jul 17, 2011";"12:15 AM";"H";"";"Uruguay";"4-2-3-1";"";"5:6  on pens";"Copa América 2011";"Argentina"
"Group B";"Sat Jun 13, 2015";"11:30 PM";"H";"";"Paraguay";"4-3-3 Attacking";"16.281";"2:2";"Copa América 2015";"Argentina"
"Group B";"Wed Jun 17, 2015";"1:30 AM";"H";"";"Uruguay";"4-3-3 Attacking";"18.243";"1:0";"Copa América 2015";"Argentina"
"Group B";"Sat Jun 20, 2015";"11:30 PM";"H";"";"Jamaica";"4-3-3 Attacking";"21.083";"1:0";"Copa América 2015";"Argentina"
"Quarter-Finals";"Sat Jun 27, 2015";"1:30 AM";"H";"";"Colombia";"4-3-3 Attacking";"21.508";"5:4  on pens";"Copa América 2015";"Argentina"
"Semi-Finals";"Wed Jul 1, 2015";"1:30 AM";"H";"";"Paraguay";"4-3-3 Attacking";"29.205";"6:1";"Copa América 2015";"Argentina"
"Final";"Sat Jul 4, 2015";"10:00 PM";"A";"";"Chile";"4-3-3 Attacking";"45.693";"4:1  on pens";"Copa América 2015";"Argentina"
"Group D";"Tue Jun 7, 2016";"4:00 AM";"H";"";"Chile";"4-2-3-1";"69.451";"2:1";"Copa América Centenario 2016";"Argentina"
"Group D";"Sat Jun 11, 2016";"3:30 AM";"H";"";"Panama";"4-3-3 Attacking";"53.885";"5:0";"Copa América Centenario 2016";"Argentina"
"Group D";"Wed Jun 15, 2016";"4:00 AM";"H";"";"Bolivia";"4-2-3-1";"45.753";"3:0";"Copa América Centenario 2016";"Argentina"
"Quarter-Finals";"Sun Jun 19, 2016";"1:00 AM";"H";"";"Venezuela";"4-3-3 Attacking";"59.183";"4:1";"Copa América Centenario 2016";"Argentina"
"Semi-Finals";"Wed Jun 22, 2016";"3:00 AM";"A";"";"United States";"4-3-3 Attacking";"70.858";"0:4";"Copa América Centenario 2016";"Argentina"
"Final";"Mon Jun 27, 2016";"2:00 AM";"H";"";"Chile";"4-3-3 Attacking";"82.026";"2:4  on pens";"Copa América Centenario 2016";"Argentina"
"Group B";"Sun Jun 16, 2019";"12:01 AM";"H";"";"Colombia";"4-4-2 double 6";"35.572";"0:2";"Copa América 2019";"Argentina"
"Group B";"Thu Jun 20, 2019";"2:30 AM";"H";"";"Paraguay";"4-4-2";"22.079";"1:1";"Copa América 2019";"Argentina"
"Group B";"Sun Jun 23, 2019";"9:00 PM";"A";"";"Qatar";"4-3-1-2";"41.390";"0:2";"Copa América 2019";"Argentina"
"Quarter-Finals";"Fri Jun 28, 2019";"9:00 PM";"A";"";"Venezuela";"4-4-2 Diamond";"50.094";"0:2";"Copa América 2019";"Argentina"
"Semi-Finals";"Wed Jul 3, 2019";"2:30 AM";"A";"";"Brazil";"4-4-2 Diamond";"55.947";"2:0";"Copa América 2019";"Argentina"
"Third Place Play-Off";"Sat Jul 6, 2019";"9:00 PM";"H";"";"Chile";"4-3-3 Attacking";"44.269";"2:1";"Copa América 2019";"Argentina"
"Group A";"Mon Jun 14, 2021";"11:00 PM";"H";"";"Chile";"4-3-3 Attacking";"x";"1:1";"Copa América 2021";"Argentina"
"Group A";"Sat Jun 19, 2021";"2:00 AM";"H";"";"Uruguay";"4-3-3 Attacking";"x";"1:0";"Copa América 2021";"Argentina"
"Group A";"Tue Jun 22, 2021";"2:00 AM";"H";"";"Paraguay";"4-4-2 double 6";"x";"1:0";"Copa América 2021";"Argentina"
"Group A";"Tue Jun 29, 2021";"2:00 AM";"H";"";"Bolivia";"4-4-2 double 6";"x";"4:1";"Copa América 2021";"Argentina"
"Quarter-Finals";"Sun Jul 4, 2021";"3:00 AM";"H";"";"Ecuador";"4-3-3 Attacking";"x";"3:0";"Copa América 2021";"Argentina"
"Semi-Finals";"Wed Jul 7, 2021";"3:00 AM";"H";"";"Colombia";"4-3-3 Attacking";"x";"4:3  on pens";"Copa América 2021";"Argentina"
"Final";"Sun Jul 11, 2021";"2:00 AM";"H";"";"Brazil";"4-4-2";"5.000";"1:0";"Copa América 2021";"Argentina"
"Group C";"Tue Jul 5, 2011";"12:15 AM";"H";"";"Peru";"4-3-3 Attacking";"";"1:1";"Copa América 2011";"Uruguay"
"Group C";"Sat Jul 9, 2011";"12:15 AM";"H";"";"Chile";"5-3-2";"";"1:1";"Copa América 2011";"Uruguay"
"Group C";"Wed Jul 13, 2011";"2:45 AM";"H";"";"Mexico";"4-3-3 Attacking";"";"1:0";"Copa América 2011";"Uruguay"
"Quarter-Finals";"Sun Jul 17, 2011";"12:15 AM";"A";"";"Argentina";"4-4-2 double 6";"";"5:6  on pens";"Copa América 2011";"Uruguay"
"Semi-Finals";"Wed Jul 20, 2011";"2:45 AM";"A";"";"Peru";"4-4-2 double 6";"";"0:2";"Copa América 2011";"Uruguay"
"Final";"Sun Jul 24, 2011";"9:00 PM";"H";"";"Paraguay";"4-4-2 double 6";"";"3:0";"Copa América 2011";"Uruguay"
"Group B";"Sat Jun 13, 2015";"9:00 PM";"H";"";"Jamaica";"4-4-2 Diamond";"8.653";"1:0";"Copa América 2015";"Uruguay"
"Group B";"Wed Jun 17, 2015";"1:30 AM";"A";"";"Argentina";"4-2-3-1";"18.243";"1:0";"Copa América 2015";"Uruguay"
"Group B";"Sat Jun 20, 2015";"9:00 PM";"H";"";"Paraguay";"4-4-2 double 6";"16.021";"1:1";"Copa América 2015";"Uruguay"
"Quarter-Finals";"Thu Jun 25, 2015";"1:30 AM";"A";"";"Chile";"4-4-2 double 6";"45.304";"1:0";"Copa América 2015";"Uruguay"
"Group C";"Mon Jun 6, 2016";"2:00 AM";"A";"";"Mexico";"4-4-2 double 6";"60.025";"3:1";"Copa América Centenario 2016";"Uruguay"
"Group C";"Fri Jun 10, 2016";"1:30 AM";"H";"";"Venezuela";"4-4-2 double 6";"23.002";"0:1";"Copa América Centenario 2016";"Uruguay"
"Group C";"Tue Jun 14, 2016";"4:00 AM";"H";"";"Jamaica";"4-4-2 double 6";"40.166";"3:0";"Copa América Centenario 2016";"Uruguay"
"Group C";"Mon Jun 17, 2019";"12:01 AM";"H";"";"Ecuador";"4-4-2";"13.611";"4:0";"Copa América 2019";"Uruguay"
"Group C";"Fri Jun 21, 2019";"1:00 AM";"H";"";"Japan";"4-4-2 double 6";"39.733";"2:2";"Copa América 2019";"Uruguay"
"Group C";"Tue Jun 25, 2019";"1:00 AM";"A";"";"Chile";"4-4-2 double 6";"49.275";"0:1";"Copa América 2019";"Uruguay"
"Quarter-Finals";"Sat Jun 29, 2019";"9:00 PM";"H";"";"Peru";"4-4-2 double 6";"21.180";"4:5  on pens";"Copa América 2019";"Uruguay"
"Group A";"Sat Jun 19, 2021";"2:00 AM";"A";"";"Argentina";"4-4-2 double 6";"x";"1:0";"Copa América 2021";"Uruguay"
"Group A";"Mon Jun 21, 2021";"11:00 PM";"H";"";"Chile";"4-4-2 Diamond";"x";"1:1";"Copa América 2021";"Uruguay"
"Group A";"Thu Jun 24, 2021";"11:00 PM";"A";"";"Bolivia";"4-4-2 Diamond";"x";"0:2";"Copa América 2021";"Uruguay"
"Group A";"Tue Jun 29, 2021";"2:00 AM";"H";"";"Paraguay";"4-3-2-1";"x";"1:0";"Copa América 2021";"Uruguay"
"Quarter-Finals";"Sun Jul 4, 2021";"12:00 AM";"H";"";"Colombia";"4-4-2 Diamond";"x";"2:4  on pens";"Copa América 2021";"Uruguay"
"Group A";"Sat Jun 4, 2016";"3:30 AM";"H";"";"Colombia";"4-3-3 Attacking";"67.439";"0:2";"Copa América Centenario 2016";"United States"
"Group A";"Wed Jun 8, 2016";"2:00 AM";"H";"";"Costa Rica";"4-3-3 Attacking";"39.642";"4:0";"Copa América Centenario 2016";"United States"
"Group A";"Sun Jun 12, 2016";"1:00 AM";"H";"";"Paraguay";"4-3-3 Attacking";"51.041";"1:0";"Copa América Centenario 2016";"United States"
"Quarter-Finals";"Fri Jun 17, 2016";"3:30 AM";"H";"";"Ecuador";"4-4-2 double 6";"47.322";"2:1";"Copa América Centenario 2016";"United States"
"Semi-Finals";"Wed Jun 22, 2016";"3:00 AM";"H";"";"Argentina";"4-4-2 double 6";"70.858";"0:4";"Copa América Centenario 2016";"United States"
"Third Place Play-Off";"Sun Jun 26, 2016";"2:00 AM";"H";"";"Colombia";"4-4-2 double 6";"29.041";"0:1";"Copa América Centenario 2016";"United States"
"Group C";"Tue Jul 5, 2011";"2:45 AM";"A";"";"Chile";"5-3-2";"";"2:1";"Copa América 2011";"Mexico"
"Group C";"Sat Jul 9, 2011";"2:45 AM";"A";"";"Peru";"5-4-1";"";"1:0";"Copa América 2011";"Mexico"
"Group C";"Wed Jul 13, 2011";"2:45 AM";"A";"";"Uruguay";"5-4-1";"";"1:0";"Copa América 2011";"Mexico"
"Group A";"Sat Jun 13, 2015";"1:30 AM";"H";"";"Bolivia";"5-3-2";"14.987";"0:0";"Copa América 2015";"Mexico"
"Group A";"Tue Jun 16, 2015";"1:30 AM";"A";"";"Chile";"5-3-2";"45.583";"3:3";"Copa América 2015";"Mexico"
"Group A";"Fri Jun 19, 2015";"11:00 PM";"H";"";"Ecuador";"5-3-2";"11.051";"1:2";"Copa América 2015";"Mexico"
"Group C";"Mon Jun 6, 2016";"2:00 AM";"H";"";"Uruguay";"3-4-3 Diamond";"60.025";"3:1";"Copa América Centenario 2016";"Mexico"
"Group C";"Fri Jun 10, 2016";"4:00 AM";"H";"";"Jamaica";"4-3-3 Attacking";"83.263";"2:0";"Copa América Centenario 2016";"Mexico"
"Group C";"Tue Jun 14, 2016";"2:00 AM";"H";"";"Venezuela";"4-1-4-1";"67.319";"1:1";"Copa América Centenario 2016";"Mexico"
"Quarter-Finals";"Sun Jun 19, 2016";"4:00 AM";"H";"";"Chile";"4-2-3-1";"70.547";"0:7";"Copa América Centenario 2016";"Mexico"
"Group B";"Sun Jul 3, 2011";"11:30 PM";"A";"";"Paraguay";"4-4-2 double 6";"";"0:0";"Copa América 2011";"Ecuador"
"Group B";"Sat Jul 9, 2011";"11:30 PM";"A";"";"Venezuela";"3-5-2";"";"1:0";"Copa América 2011";"Ecuador"
"Group B";"Thu Jul 14, 2011";"2:45 AM";"A";"";"Brazil";"4-4-2";"39.000";"4:2";"Copa América 2011";"Ecuador"
"Group A";"Fri Jun 12, 2015";"1:30 AM";"A";"";"Chile";"4-4-2 double 6";"48.665";"2:0";"Copa América 2015";"Ecuador"
"Group A";"Mon Jun 15, 2015";"11:00 PM";"H";"";"Bolivia";"4-4-2 double 6";"5.982";"2:3";"Copa América 2015";"Ecuador"
"Group A";"Fri Jun 19, 2015";"11:00 PM";"A";"";"Mexico";"4-4-2 double 6";"11.051";"1:2";"Copa América 2015";"Ecuador"
"Group B";"Sun Jun 5, 2016";"4:00 AM";"A";"";"Brazil";"4-2-3-1";"53.158";"0:0";"Copa América Centenario 2016";"Ecuador"
"Group B";"Thu Jun 9, 2016";"4:00 AM";"H";"";"Peru";"4-2-3-1";"11.937";"2:2";"Copa América Centenario 2016";"Ecuador"
"Group B";"Mon Jun 13, 2016";"12:30 AM";"H";"";"Haiti";"4-4-2 double 6";"50.976";"4:0";"Copa América Centenario 2016";"Ecuador"
"Quarter-Finals";"Fri Jun 17, 2016";"3:30 AM";"A";"";"United States";"4-2-3-1";"47.322";"2:1";"Copa América Centenario 2016";"Ecuador"
"Group C";"Mon Jun 17, 2019";"12:01 AM";"A";"";"Uruguay";"4-2-3-1";"13.611";"4:0";"Copa América 2019";"Ecuador"
"Group C";"Sat Jun 22, 2019";"1:00 AM";"H";"";"Chile";"4-3-3 Attacking";"14.727";"1:2";"Copa América 2019";"Ecuador"
"Group C";"Tue Jun 25, 2019";"1:00 AM";"H";"";"Japan";"4-1-4-1";"9.729";"1:1";"Copa América 2019";"Ecuador"
"Group B";"Mon Jun 14, 2021";"2:00 AM";"A";"";"Colombia";"4-4-2 double 6";"x";"1:0";"Copa América 2021";"Ecuador"
"Group B";"Sun Jun 20, 2021";"11:00 PM";"A";"";"Venezuela";"4-4-2 double 6";"x";"2:2";"Copa América 2021";"Ecuador"
"Group B";"Wed Jun 23, 2021";"11:00 PM";"H";"";"Peru";"4-2-3-1";"x";"2:2";"Copa América 2021";"Ecuador"
"Group B";"Sun Jun 27, 2021";"11:00 PM";"H";"";"Brazil";"4-4-2 double 6";"x";"1:1";"Copa América 2021";"Ecuador"
"Quarter-Finals";"Sun Jul 4, 2021";"3:00 AM";"A";"";"Argentina";"4-3-3 Attacking";"x";"3:0";"Copa América 2021";"Ecuador"
"Group C";"Tue Jun 18, 2019";"1:00 AM";"H";"";"Chile";"4-4-2 double 6";"23.253";"0:4";"Copa América 2019";"Japan"
"Group C";"Fri Jun 21, 2019";"1:00 AM";"A";"";"Uruguay";"4-4-2 double 6";"39.733";"2:2";"Copa América 2019";"Japan"
"Group C";"Tue Jun 25, 2019";"1:00 AM";"A";"";"Ecuador";"4-4-2 double 6";"9.729";"1:1";"Copa América 2019";"Japan"
"Group B";"Sun Jun 16, 2019";"9:00 PM";"A";"";"Paraguay";"4-1-4-1";"19.196";"2:2";"Copa América 2019";"Qatar"
"Group B";"Wed Jun 19, 2019";"11:30 PM";"A";"";"Colombia";"5-4-1";"22.079";"1:0";"Copa América 2019";"Qatar"
"Group B";"Sun Jun 23, 2019";"9:00 PM";"H";"";"Argentina";"5-4-1";"41.390";"0:2";"Copa América 2019";"Qatar"
"Group B";"Sat Jan 15, 2011";"1:00 AM";"H";"";"Honduras";"4-4-2 Diamond";"6.000";"1:1";"Copa Centroamericana 2011";"Costa Rica"
"Group B";"Sun Jan 16, 2011";"11:00 PM";"A";"";"Guatemala";"?";"1.500";"0:2";"Copa Centroamericana 2011";"Costa Rica"
"Semi-Finals";"Sat Jan 22, 2011";"3:00 AM";"A";"";"Panama";"4-4-2 Diamond";"10.000";"3:5  on pens";"Copa Centroamericana 2011";"Costa Rica"
"Final";"Mon Jan 24, 2011";"12:00 AM";"A";"";"Honduras";"4-4-2 Diamond";"2.000";"2:1";"Copa Centroamericana 2011";"Costa Rica"
"Group A";"Sat Jan 19, 2013";"3:00 AM";"H";"";"Belize";"4-4-2 Diamond";"5.484";"1:0";"Copa Centroamericana 2013";"Costa Rica"
"Group A";"Mon Jan 21, 2013";"1:00 AM";"H";"";"Nicaragua";"4-4-2 Diamond";"5.980";"2:0";"Copa Centroamericana 2013";"Costa Rica"
"Group A";"Wed Jan 23, 2013";"3:00 AM";"H";"";"Guatemala";"4-4-2 double 6";"6.760";"1:1";"Copa Centroamericana 2013";"Costa Rica"
"Semi-Finals";"Sat Jan 26, 2013";"3:00 AM";"H";"";"El Salvador";"4-4-2 Diamond";"4.993";"1:0";"Copa Centroamericana 2013";"Costa Rica"
"Final";"Mon Jan 28, 2013";"12:01 AM";"H";"";"Honduras";"4-4-2 Diamond";"14.146";"1:0";"Copa Centroamericana 2013";"Costa Rica"
"Group A";"Wed Sep 3, 2014";"11:30 PM";"H";"";"Nicaragua";"4-3-3 Attacking";"20.516";"3:0";"Copa Centroamericana 2014";"Costa Rica"
"Group A";"Sun Sep 7, 2014";"11:00 PM";"H";"";"Panama";"4-3-3 Attacking";"20.156";"2:2";"Copa Centroamericana 2014";"Costa Rica"
"Final";"Sun Sep 14, 2014";"6:00 AM";"A";"";"Guatemala";"4-4-1-1";"41.969";"1:2";"Copa Centroamericana 2014";"Costa Rica"
"Group A";"Sat Jun 4, 2016";"11:00 PM";"H";"";"Paraguay";"5-4-1";"14.334";"0:0";"Copa América Centenario 2016";"Costa Rica"
"Group A";"Wed Jun 8, 2016";"2:00 AM";"A";"";"United States";"5-4-1 Diamond";"39.642";"4:0";"Copa América Centenario 2016";"Costa Rica"
"Group A";"Sun Jun 12, 2016";"3:00 AM";"A";"";"Colombia";"5-4-1";"45.808";"2:3";"Copa América Centenario 2016";"Costa Rica"
"Group A";"Sat Jan 14, 2017";"12:30 AM";"H";"";"El Salvador";"5-4-1";"";"0:0";"Copa Centroamericana 2017";"Costa Rica"
"Group A";"Sun Jan 15, 2017";"7:00 PM";"A";"";"Belize";"5-4-1 Diamond";"";"0:3";"Copa Centroamericana 2017";"Costa Rica"
"Group A";"Wed Jan 18, 2017";"12:30 AM";"H";"";"Nicaragua";"5-4-1";"";"0:0";"Copa Centroamericana 2017";"Costa Rica"
"Group A";"Sat Jan 21, 2017";"12:30 AM";"A";"";"Honduras";"5-4-1";"";"1:1";"Copa Centroamericana 2017";"Costa Rica"
"Group A";"Sun Jan 22, 2017";"10:00 PM";"A";"";"Panama";"5-4-1 Diamond";"";"1:0";"Copa Centroamericana 2017";"Costa Rica"
